Name,Current Players,Peak Players,Time,Link,appid,Tags
The Elder Scrolls V: Skyrim Special Edition,22421,24591,2021-01-06 13:37:39,https://store.steampowered.com/app/489830/The_Elder_Scrolls_V_Skyrim_Special_Edition/,489830,"['Open World', 'RPG', 'Adventure', 'Singleplayer', 'Fantasy', 'Character Customization', 'Dragons', 'Moddable', 'Story Rich', 'Magic', 'First-Person', 'Action', 'Atmospheric', 'Great Soundtrack', 'Third Person', 'Stealth', 'Classic', 'Remake', 'Female Protagonist', 'Walking Simulator']"
Phasmophobia,22357,33975,2021-01-06 13:37:39,https://store.steampowered.com/app/739630/Phasmophobia/,739630,"['Horror', 'Online Co-Op', 'Multiplayer', 'Psychological Horror', 'Co-op', 'Supernatural', 'VR', 'First-Person', 'Investigation', 'Dark', 'Mystery', 'Detective', 'Demons', 'Early Access', 'Indie', 'Thriller', '3D', 'Action', 'Tactical', 'Lovecraftian']"
Sid Meier's Civilization V,22206,24527,2021-01-06 13:37:39,https://store.steampowered.com/app/8930/Sid_Meiers_Civilization_V/,8930,"['Turn-Based Strategy', 'Strategy', 'Turn-Based', 'Multiplayer', 'Historical', '4X', 'Addictive', 'Singleplayer', 'Hex Grid', 'Grand Strategy', 'Replay Value', 'Co-op', 'Tactical', 'Economy', 'Diplomacy', 'Moddable', 'Simulation', 'Classic', 'Great Soundtrack', 'Touch-Friendly']"
Europa Universalis IV,21566,23807,2021-01-06 13:37:39,https://store.steampowered.com/app/236850/Europa_Universalis_IV/,236850,"['Grand Strategy', 'Historical', 'Simulation', 'Alternate History', 'Economy', 'Military', 'Sandbox', 'Political', 'Diplomacy', 'Nonlinear', 'Real-Time with Pause', 'Moddable', 'Strategy', 'Replay Value', 'Management', 'Singleplayer', 'Multiplayer', 'Resource Management', 'Great Soundtrack', 'Education']"
Left 4 Dead 2,21537,27042,2021-01-06 13:37:39,https://store.steampowered.com/app/550/Left_4_Dead_2/,550,"['Zombies', 'Co-op', 'FPS', 'Multiplayer', 'Shooter', 'Action', 'Online Co-Op', 'Survival', 'Horror', 'First-Person', 'Gore', 'Team-Based', 'Survival Horror', 'Moddable', 'Post-apocalyptic', 'Singleplayer', 'Adventure', 'Local Co-Op', 'Replay Value', 'Tactical']"
Counter-Strike,21405,22784,2021-01-06 13:37:39,https://store.steampowered.com/app/10/CounterStrike/,10,"['Action', 'FPS', 'Multiplayer', 'Shooter', 'Classic', 'Team-Based', 'First-Person', 'Competitive', 'Tactical', ""1990's"", 'eSports', 'PvP', 'Old School', 'Military', 'Strategy', 'Survival', 'Score Attack', '1980s', 'Assassin', 'Violent']"
Brawlhalla,21003,22128,2021-01-06 13:37:39,https://store.steampowered.com/app/291550/Brawlhalla/,291550,"['Free to Play', 'Multiplayer', 'Fighting', '2D', '2D Fighter', 'Action', 'Local Multiplayer', 'Platformer', 'Co-op', 'Controller', 'Online Co-Op', 'Local Co-Op', '4 Player Local', ""Beat 'em up"", 'Indie', 'Singleplayer', 'Massively Multiplayer', 'Early Access', 'Survival', 'Adventure']"
Don't Starve Together,20855,32214,2021-01-06 13:37:39,https://store.steampowered.com/app/322330/Dont_Starve_Together/,322330,"['Survival', 'Open World Survival Craft', 'Multiplayer', 'Co-op', 'Open World', 'Adventure', 'Crafting', 'Online Co-Op', 'Sandbox', 'Difficult', 'Indie', '2D', 'Funny', 'Atmospheric', 'Survival Horror', 'Strategy', 'Singleplayer', 'Horror', 'Action', 'Simulation']"
The Forest,20687,27230,2021-01-06 13:37:39,https://store.steampowered.com/app/242760/The_Forest/,242760,"['Open World Survival Craft', 'Survival', 'Open World', 'Horror', 'Crafting', 'Adventure', 'Building', 'Survival Horror', 'First-Person', 'Action', 'Exploration', 'Sandbox', 'Atmospheric', 'Simulation', 'Singleplayer', 'Indie', 'Realistic', 'Gore', 'Early Access', 'Zombies']"
The Sims™ 4,20444,23878,2021-01-06 13:37:39,https://store.steampowered.com/app/1222670/The_Sims_4/,1222670,"['Life Sim', 'Character Customization', 'Simulation', 'Building', 'Casual', 'Romance', 'Relaxing', 'Funny', 'Immersive Sim', 'Cute', 'Singleplayer', 'Family Friendly', 'Cartoony', 'Fantasy', 'Atmospheric', 'Beautiful', 'Sexual Content', 'Realistic', 'Multiplayer', 'LGBTQ+']"
Arma 3,20409,22835,2021-01-06 13:37:39,https://store.steampowered.com/app/107410/Arma_3/,107410,"['Action', 'Multiplayer', 'Military', 'Simulation', 'Shooter', 'First-Person', 'Realistic', 'Open World', 'Tactical', 'FPS', 'Co-op', 'War', 'Strategy', 'Sandbox', 'Moddable', 'Combat', 'Online Co-Op', 'Singleplayer', 'Team-Based', 'Third-Person Shooter']"
Red Dead Redemption 2,20170,26781,2021-01-06 13:37:39,https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2/,1174180,"['Adventure', 'Open World', 'Action', 'Western', 'Story Rich', 'Multiplayer', 'Shooter', 'Realistic', 'Third-Person Shooter', 'Singleplayer', 'Atmospheric', 'Horses', 'Beautiful', 'Sandbox', 'Great Soundtrack', 'Third Person', 'Mature', 'First-Person', 'Gore', 'FPS']"
RimWorld,19423,20332,2021-01-06 13:37:39,https://store.steampowered.com/app/294100/RimWorld/,294100,"['Colony Sim', 'Base Building', 'Survival', 'Strategy', 'Sandbox', 'Management', 'Building', 'Simulation', 'Singleplayer', 'Open World', 'Sci-fi', 'Crafting', 'Moddable', '2D', 'Indie', 'Great Soundtrack', 'Atmospheric', 'Space', 'Action', 'Pixel Graphics']"
Raft,19403,24338,2021-01-06 13:37:39,https://store.steampowered.com/app/648800/Raft/,648800,"['Survival', 'Open World Survival Craft', 'Multiplayer', 'Co-op', 'Crafting', 'Open World', 'Building', 'Base Building', 'Adventure', 'Online Co-Op', 'Sandbox', 'Early Access', 'First-Person', 'Singleplayer', 'Simulation', 'Underwater', 'Action', 'Indie', 'Strategy', 'Massively Multiplayer']"
Cities: Skylines,19309,26542,2021-01-06 13:37:39,https://store.steampowered.com/app/255710/Cities_Skylines/,255710,"['City Builder', 'Simulation', 'Building', 'Strategy', 'Management', 'Sandbox', 'Singleplayer', 'Moddable', 'Economy', 'Resource Management', 'Realistic', 'Mod', 'Replay Value', 'Casual', 'Family Friendly', 'Real-Time with Pause', 'Modern', 'Great Soundtrack', 'Funny', 'Action']"
